raw_sentence,clean_text,textblob_polarity,sentiment_textblob
"Let us act smart to ensure that the world is free from diseases such as tuberculosis.

https://t.co/Hzcu935p2u

#worldtbday #tuberculosis #worldtuberculosisday #health #healthcare #hivawareness #aids #worlstuberculosisday #hivaidsawareness #stroke #diabetes #aidsawareness https://t.co/vzZYLgICq8",tuberculosis #worlstuberculosisday #stroke ensure #hivaidsawareness #diabetes free #aids #worldtbday smart world #tuberculosis #health #aidsawareness #hivawareness disease #worldtuberculosisday #healthcare,0.31,Partially Positive
"""Together we can fight against TB with Homeopathy and free this world from its clutches""

World Tuberculosis Day!!

#worldtbday #tuberculosis #worldtuberculosisday #tb #healthcare #hiv #hivawareness #hivaidsawareness #aidsawareness #worldtbday2023 #Homeodoctor #DRSinghalHomeo https://t.co/sofqgSBU4Y",Together clutch #hivawareness #worldtbday2023 #DRSinghalHomeo #hivaidsawareness #worldtbday #tuberculosis free #Homeodoctor Homeopathy world Tuberculosis #aidsawareness World #healthcare fight #hiv #worldtuberculosisday,0.4,Partially Positive
"Know the facts related to HIV/AIDS, and be the ""à¤œà¤¾à¤£à¤•à¤¾à¤°""!

#à¤•à¥‹à¤£à¤œà¤¾à¤¤à¤²à¥‹à¤œà¤¾à¤£à¤•à¤¾à¤° #beinformed #KnowHIV #knowAIDS #stayinformed #dial1097 #NACOApp #HIVawareness #AIDSawareness #HIV #AIDS #goasacs https://t.co/4zIsvO5TCf",#NACOApp #AIDSawareness #HIVawareness related #KnowHIV #AIDS #knowAIDS #HIV #goasacs fact #stayinformed #dial1097 Know #beinformed AIDS,0.0,Neutral
"NEW BLOG and VIDEO out now on YouTube

Highlights from the Fighting HIV Stigma, March Vigil and Rally. Saturday 18th March 2023 

Blog: https://t.co/ur4xms7NmG

YouTube: https://t.co/lOhWFhPte7

#HIV #HIVPositive #HIVAwareness 
#aids #hivaids  #hivprevention #aidsawareness #pride https://t.co/qoe1Nl3huC https://t.co/dIqAXlkoQK",#HIV Rally #pride BLOG Stigma VIDEO #HIVAwareness Highlights 18th Blog Fighting YouTube Vigil #aidsawareness #aids #hivaids March #hivprevention 2023 Saturday #HIVPositive,0.0,Neutral
"RT @KathyS_MacKay: Local Author Day/Delray Beach Library, 3/26: Although Iâ€™m still writing my memoir, Iâ€™ll display my 1st book, DYING IN VEâ€¦",still memoir Local DYING Beach Author Delray Library writing book Although display,0.0,Neutral
"Local Author Day/Delray Beach Library, 3/26: Although Iâ€™m still writing my memoir, Iâ€™ll display my 1st book, DYING IN VEIN: BLOOD, DECEPTIONâ€¦JUSTICE. See bio. Looking forward to meeting writers &amp; visitors @ 2:30pm! #amwriting #BigPharma #aidsawareness #amquerying #hemophilia https://t.co/3Ycscc0RlQ",Looking Author #hemophilia Local BLOOD 30pm VEIN Library meeting display forward still memoir DYING #BigPharma Delray #amquerying #aidsawareness book DECEPTION visitor writer Beach JUSTICE #amwriting writing Although,0.0,Neutral
"To know more about HIV/AIDS, dial the toll-free helpline number 1097 or download the NACO app!

#à¤•à¥‹à¤£à¤œà¤¾à¤¤à¤²à¥‹à¤œà¤¾à¤£à¤•à¤¾à¤° #beinformed #KnowHIV #knowAIDS #stayinformed #dial1097 #NACOApp #HIVawareness #AIDSawareness #HIV #AIDS #goasacs https://t.co/sAS95OkehF",toll #HIVawareness #knowAIDS #HIV number #NACOApp #dial1097 dial know #stayinformed #beinformed download #AIDSawareness #KnowHIV #AIDS #goasacs free helpline 1097 AIDS NACO,0.4,Partially Positive
"Alaska Natives, and Native Hawaiians) across the United States and Territorial Areas to get educated, get tested, get involved in prevention, and get treated for HIV. #NNHAAD #HIV #aids #aidsawareness #hivawareness #health #gilead #explorepage",States #HIV tested across prevention #hivawareness Natives United #health Territorial Areas #aidsawareness #aids Hawaiians Alaska treated educated involved #NNHAAD #explorepage Native #gilead,0.0,Neutral
"Everyone needs support

 #humanconnection #hiv #aids #aidsawareness #hivawareness #nationalnativehivaidsawarenessday #support https://t.co/Tbba2tXE4B",support #hiv #aids #support #aidsawareness #hivawareness #humanconnection #nationalnativehivaidsawarenessday need Everyone,0.0,Neutral
"Everyone needs support

 #humanconnection #hiv #aids #aidsawareness #hivawareness #nationalnativehivaidsawarenessday #support https://t.co/zwZBq83EAG",support #hiv #aids #support #aidsawareness #hivawareness #humanconnection #nationalnativehivaidsawarenessday need Everyone,0.0,Neutral
Its no the end #JurusJituGlowing #aids #hiv #aidsawareness #hivaids #hivpositive #fyp #foryoupage #HANYUJIN #TREASURE_HELLOinJKT #TREASURE https://t.co/GStvt6KKa6,#JurusJituGlowing #hivaids #hiv #foryoupage #hivpositive #fyp #TREASURE #aidsawareness #HANYUJIN HELLOinJKT #aids,0.0,Neutral
"RT @NSSChennai: The  NSS unit of Blue star higher secondary school organised World AIDS Day - Awareness Rally and pledge at Puducherry.
#aiâ€¦",Puducherry pledge unit secondary school Awareness Blue higher star organised Rally World AIDS,-0.02,Neutral
I enjoyed the fun at the Florida aids walk today! #faw #hiv #aidsawareness https://t.co/YoodhY61DV,Florida #faw today #hiv aid walk #aidsawareness enjoyed,0.5,Positive
"RT @punjabsacs: Treatment will be done without any discrimination 
Because discrimination in hospitals due to HIV status 
will not be tolerâ€¦",without done hospital toler discrimination status Because Treatment,0.0,Neutral
"HIV does not spread by reusing the gadgets used by an HIV infected person.

#HIVspread #aidsawareness #equality #equalityforall 
#Helpline1097 #PSACS #punjabstateaidscontrolsociety #HIV #AIDS #HIVawareness #AIDSawareness #HIVAIDS #PunjabSACS #GetTested #GetTreated #NACO https://t.co/s4GdqHgWJc",#HIVspread #punjabstateaidscontrolsociety #HIVawareness #HIV gadget used #equalityforall infected #equality #NACO #AIDSawareness #AIDS #GetTreated #GetTested #aidsawareness #HIVAIDS person #PunjabSACS spread #Helpline1097 reusing #PSACS,0.0,Neutral
"RT @punjabsacs: Treatment will be done without any discrimination 
Because discrimination in hospitals due to HIV status 
will not be tolerâ€¦",without done hospital toler discrimination status Because Treatment,0.0,Neutral
"STDCHECK
10 Test Panel with HIV RNA Early Detection directly to cart along with Coupon $10 Off Order
https://t.co/9x50uWDnax
#hivtest #hiv #hivawareness #aids #hivtesting #aidsawareness #hivpositive #hivprevention #hivaidsawareness #hivaids #hivjakarta #hivstigma #uequalsu https://t.co/SkyI5hiL6W",cart #hivawareness #hivtesting #hivaidsawareness Early Detection Coupon #hivjakarta Panel Test #hivtest #hivpositive #aidsawareness STDCHECK #aids #hivaids #uequalsu Order along #hivprevention #hiv #hivstigma directly,0.1,Partially Positive
Shakaville Operation Sukuma Sakhe ward Task Team and Ward AIDS Commitee at the War Room meeting. #aidsawareness #TB #povertyalleviation https://t.co/7uotkfB7Lp,Commitee Sakhe #povertyalleviation Team Room Shakaville Task Sukuma meeting #aidsawareness Ward Operation AIDS ward,0.0,Neutral
"RT @punjabsacs: Treatment will be done without any discrimination 
Because discrimination in hospitals due to HIV status 
will not be tolerâ€¦",without done hospital toler discrimination status Because Treatment,0.0,Neutral
"RT @saveethamicro: Dr.P.Balakrishnan, as a plenary speaker in the IRCPAS 2.0 conference at UCSI University Kuala Lumpur Campus, Malaysia @Sâ€¦",conference Malaysia Kuala Balakrishnan Lumpur IRCPAS plenary Campus UCSI speaker University,0.0,Neutral
RT @ASusanaRamirez: I'd really love for folks to engage w new paper documenting #healthcommunication campaign development &amp; arguing for recâ€¦,paper love folk documenting campaign engage #healthcommunication really arguing development,0.35,Partially Positive
I'd really love for folks to engage w new paper documenting #healthcommunication campaign development &amp; arguing for reconsideration of target audiences in such efforts--persuasive message design principles to move attitudes of powerful people who don't experience disparities https://t.co/uN6Au6ri91,people disparity love powerful campaign effort really message folk engage experience development design move paper documenting reconsideration target persuasive audience #healthcommunication attitude principle arguing,0.33,Partially Positive
"Woohoo! ðŸ˜ƒ Our course ""Foundations of Equitable Communication in Health"" has been found to make a statistically significant improvement in people's communication knowledge, confidence and skills ðŸ˜Ž See details at  https://t.co/Hd4YnOJPec #healthequity #healthcommunication https://t.co/Lq8XfQQX23",knowledge people statistically detail Equitable significant make Foundations found skill improvement #healthequity Woohoo Communication course communication Health #healthcommunication confidence,0.38,Partially Positive
"#ICYMI! Earlier this month, we released our equity-centered #HealthComm framework. Have you checked it out? https://t.co/9k2qAH2f3N 
#PublicHealth #HealthCommunication #HealthLiteracy #InclusiveLanguage https://t.co/EkPaSuCAvl",released Have framework #HealthComm #PublicHealth Earlier #ICYMI equity month checked #HealthLiteracy #HealthCommunication #InclusiveLanguage centered,0.0,Neutral
"RT @RenataSNYC: Special thanks to @Farah_Yousrym for a wonderful Q&amp;A session this week in my @ColumbiaMSPH course on Society, Health Equityâ€¦",session Society thanks Equity Special Health wonderful week course,0.52,Positive
"Special thanks to @Farah_Yousrym for a wonderful Q&amp;A session this week in my @ColumbiaMSPH course on Society, Health Equity, &amp; Health Communication! We spoke about how to pitch #healthequity to the media &amp; her experience as a health equity reporter #healthcommunication #media ðŸ™",session thanks Equity #media wonderful equity Special week spoke experience #healthequity Communication health course Society pitch Health medium #healthcommunication reporter,0.52,Positive
RT @evaplanHealth: Join us to improve your healthcare crisis communication and management skills! We start Monday. https://t.co/q6O5WkEM20â€¦,crisis communication improve skill Monday healthcare management Join start,0.0,Neutral
Join us to improve your healthcare crisis communication and management skills! We start Monday. https://t.co/q6O5WkEM20 #crisiscommunication #healthcrisis #management #healthcommunication https://t.co/QW0NrXyNs5,crisis #healthcrisis communication improve skill Monday #management healthcare management Join #healthcommunication #crisiscommunication start,0.0,Neutral
"I find myself in the unprecedented position of being lead or co-author of three forthcoming books right now. It is exciting, if slightly mad. Many, many thanks to my co-authors for being brilliant, reliable and patient. 
#genderandlanguage #politicaldiscourse #healthcommunication",thanks patient reliable unprecedented many lead three #genderandlanguage right Many brilliant #politicaldiscourse author find book slightly exciting position forthcoming #healthcommunication,0.47,Partially Positive
"identify pilot universities to enter the WHO collaborating centre process.

Details:Â https://t.co/BsqoVZDuuQ

#Infodemic #DigitalHealth #HealthCommunication #RiskCommunication #WHO #InfodemicManagement
@WHO
@GanapathyDeepti
2/2",#WHO process enter university #DigitalHealth centre collaborating #Infodemic Details pilot #InfodemicManagement #RiskCommunication #HealthCommunication identify,0.0,Neutral
"ðŸ“£ Attention all #healthcommunication enthusiasts! Welcome @AbhishekGulyani as part of our jury for Health Comms awards 2023. Abhishek brings a wealth of expertise and a keen eye for innovation.
Know the jury panel - https://t.co/QOTezWrqbX

Enter now -  https://t.co/ciRPmk8duS https://t.co/m61orUQ5QI",jury enthusiast expertise keen Enter Attention part Abhishek award Welcome wealth Comms panel Health 2023 #healthcommunication innovation brings Know,0.8,Positive
"ðŸ“£ Attention all #healthcommunication enthusiasts! Welcome @AbhishekGulyani as part of our jury for Health Comms awards 2023. Abhishek brings a wealth of expertise and a keen eye for innovation.
Know the jury panel - https://t.co/QOTezWrY1v

Enter now -  https://t.co/ciRPmk8Lkq https://t.co/hIwiW4Ckhg",jury enthusiast expertise keen Enter Attention part Abhishek award Welcome wealth Comms panel Health 2023 #healthcommunication innovation brings Know,0.8,Positive
"RT @EACH_com: Iraq webinar ""Dealing with angry patients"" with Prof Fadel Al-Jaf
31 March 9pm Iraq time
https://t.co/vqzLvYgTku 
#healthcommâ€¦",March time patient Dealing #healthcomm webinar Fadel angry Prof Iraq,-0.5,Negative
"RT @ASusanaRamirez: Have you read this yet? It's #OpenAccess via PMC

#racializedmarketing #healthcommunication #healthpolicy

The Racializâ€¦",Have Racializ #healthpolicy #OpenAccess #racializedmarketing read #healthcommunication,0.0,Neutral
"RT @EACH_com: Iraq webinar ""Dealing with angry patients"" with Prof Fadel Al-Jaf
31 March 9pm Iraq time
https://t.co/vqzLvYgTku 
#healthcommâ€¦",March time patient Dealing #healthcomm webinar Fadel angry Prof Iraq,-0.5,Negative
"Iraq webinar ""Dealing with angry patients"" with Prof Fadel Al-Jaf
31 March 9pm Iraq time
https://t.co/vqzLvYgTku 
#healthcommunication #EACH https://t.co/yKXw8zf36k",#EACH March time patient Dealing webinar Fadel angry #healthcommunication Prof Iraq,-0.5,Negative
"Have you read this yet? It's #OpenAccess via PMC

#racializedmarketing #healthcommunication #healthpolicy

The Racialized Marketing of Unhealthy Foods and Beverages: Perspectives and Potential Remedies

 https://t.co/BiyLKzPZtJ",Have Beverages Marketing Remedies #healthpolicy #OpenAccess Potential #racializedmarketing Foods Perspectives read Unhealthy #healthcommunication Racialized,-0.2,Partially Negative
"Beyond citing this widely ðŸ˜‰, consider using this article to teach how to design a model of change incorporating strategic communication for #healthpromotion, or in a health communication class showing distinct components of #healthcommunication 

https://t.co/kWD3oG5Iza",teach model citing using Beyond consider strategic design #healthpromotion class incorporating distinct change health widely communication showing component #healthcommunication article,0.1,Partially Positive
"RT @CHARMResLab: Have you ever thought that social media can also help prevent the spread of misinformation?
Research showed that it's POSSâ€¦",Have help spread social Research also thought prevent medium showed ever misinformation POSS,0.03,Neutral
"RT @CHARMResLab: Have you ever thought that social media can also help prevent the spread of misinformation?
Research showed that it's POSSâ€¦",Have help spread social Research also thought prevent medium showed ever misinformation POSS,0.03,Neutral
"Have you ever thought that social media can also help prevent the spread of misinformation?
Research showed that it's POSSIBLE!! Read more about @LeticiaBode and @ekvraga's study at: https://t.co/EaxACVVgVB

#CHARM101 #misinformation #healthcommunication @MasonResearch https://t.co/qTunakqDd0",Have help spread social Research Read also POSSIBLE study #misinformation thought prevent medium showed #CHARM101 #healthcommunication ever misinformation,0.02,Neutral
RT @ranielwy: A beautiful day in DC with one of my favorite people and #healthcommunication experts @elizabethmags @theNASEM @vahsrd @Veterâ€¦,favorite expert people beautiful #healthcommunication,0.68,Positive
"Early-bird registration is open for @healthcommsoc's 7th Annual National Summit for #HealthCommunication, 6/12-13 in Austin, TX (and online)! Check out the high-level agenda: https://t.co/tLWHfcrxEn #PublicHealth #HealthEquity #SHCSummit23 https://t.co/ORUzjfN0V2",National bird open agenda #SHCSummit23 Summit high registration level #PublicHealth Early #HealthEquity Austin #HealthCommunication online Annual Check,0.09,Partially Positive
"RT @HRCCMSU: Have you submitted your application yetâ“

Applications are due NEXT Saturday, April 1! 
If you are interested in #healthcommunâ€¦",Have #healthcommun NEXT Applications submitted interested Saturday April application,0.12,Partially Positive
"I hope that with todayâ€™s #ACHCâ€™s #ReadingTipTuesday articles I showed you how important #HealthCommunication is, also within the clinical field",also today important hope showed within clinical article #ACHC #ReadingTipTuesday #HealthCommunication field,0.4,Partially Positive
"RT @HRCCMSU: Have you submitted your application yetâ“

Applications are due NEXT Saturday, April 1! 
If you are interested in #healthcommunâ€¦",Have #healthcommun NEXT Applications submitted interested Saturday April application,0.12,Partially Positive
"Have you submitted your application yetâ“

Applications are due NEXT Saturday, April 1! 
If you are interested in #healthcommunication, be sure to complete everything before the deadline arrives. 

#mastersdegree #graduateschool #michiganstateuniversity https://t.co/WZ4iRMWEfp",Have NEXT Applications submitted sure arrives interested #graduateschool deadline Saturday #healthcommunication complete everything #michiganstateuniversity April application #mastersdegree,0.21,Partially Positive
"RT @mbmc_cmcm: Some really interesting behavioural science going on in our lab! We're looking for #postdocs! 

#aer #ai #behaviouralscienceâ€¦",Some science #postdocs behavioural interesting #behaviouralscience really going #aer looking,0.35,Partially Positive
"I am getting a little personal this week.
https://t.co/tcNreQ6StF 
#organizationalcommunication #healthcommunication #pain #workplace #humanresources",personal getting #workplace #organizationalcommunication #pain week #healthcommunication #humanresources little,-0.09,Partially Negative
"Are you an experienced communications professional? Come work with us at the Massachusetts Public Health Association. Apply with our RFP TODAY! 

#MA #PUBLICHEALTH #HEALTHCOMMUNICATION #MMPHA https://t.co/d0P3ZAFbPi",Public #MMPHA communication Massachusetts Come professional work TODAY Health experienced #PUBLICHEALTH Apply Association #HEALTHCOMMUNICATION,0.3,Partially Positive
"""As we know, preparedness cannot be improvised in the midst of a pandemic."" See my editorial in @JCIHonline on lessons learned from the pandemic and implications for communication and equity #health #COVID19 #pandemicpreparedness  #communication #equity #healthcommunication https://t.co/0Ezkn4GtFq",know communication #pandemicpreparedness preparedness implication #COVID19 midst equity pandemic #health lesson improvised #healthcommunication editorial #communication #equity cannot learned,0.0,Neutral
RT @ranielwy: A beautiful day in DC with one of my favorite people and #healthcommunication experts @elizabethmags @theNASEM @vahsrd @Veterâ€¦,favorite expert people beautiful #healthcommunication,0.68,Positive
"Have you read our most recent editorial? This article highlights lessons learned over the last three years of the pandemic. 

Read full article: https://t.co/drYoUfjphL

#healthcommunication #healthcare #healthequity https://t.co/iu2RnGMfbo",Have recent three full #healthcare year #healthequity read highlight article lesson pandemic This #healthcommunication editorial Read last learned,0.12,Partially Positive
RT @FerrettiAgata: Such a great honor to be invited to the @theNASEM to discuss #ethical #data uses for #publichealth and effective #healthâ€¦,honor effective Such great invited discus #ethical #data #health #publichealth us,0.4,Partially Positive
Such a great honor to be invited to the @theNASEM to discuss #ethical #data uses for #publichealth and effective #healthcommunication. Thank you Holly Rhodes and @WilliamKHallman for coordinating this important activity! https://t.co/XbLa58aola,honor effective Such great invited discus #ethical #data activity coordinating important Holly Thank #healthcommunication Rhodes #publichealth us,0.4,Partially Positive
A beautiful day in DC with one of my favorite people and #healthcommunication experts @elizabethmags @theNASEM @vahsrd @VeteransHealth @VA_CHOIR https://t.co/1zOnOXGvcs https://t.co/wXCksCfIbO,favorite expert people beautiful #healthcommunication,0.68,Positive
"I never know if I should smile with â€œteethâ€ or â€œno teethâ€ during professional headshots.. Regardless, I got some updated ones! ðŸ“¸

#LickingCounty #Smize #PR #PublicRelations #HealthCommunication #Headshot #HealthInformation #PR https://t.co/dygd7AlPz2",know #Headshot Regardless updated #LickingCounty professional headshot #PublicRelations #Smize never #HealthInformation #HealthCommunication teeth one smile,0.2,Partially Positive
"Check out this important @CogitatioMaC issue on: #Global Inequalities in the wake of #COVID19: #Gender, #Pandemic, &amp; #Media Gaps. Much needed NOW!
#women #gendergap #digitaldivide #healthcommunication #technology 
@AcademicChatter #AcademicTwitter #GlobalSouth
#academic #academia https://t.co/BgMKJvmV91",Much #academia #AcademicTwitter wake #Pandemic Gaps issue #women needed important #COVID19 #gendergap #digitaldivide #Global Check #academic Inequalities #technology #Media #GlobalSouth #healthcommunication #Gender,0.15,Partially Positive
